"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2014","Greece","Thousand passengers","13,399",""
"2014","Spain","Millions of passenger-kilometres","25,034",""
"2014","Spain","Thousand passengers","563,801",""
"2014","France","Millions of passenger-kilometres","89,499",""
"2014","France","Thousand passengers","1,157,679",""
"2014","Croatia","Millions of passenger-kilometres","917",""
"2014","Croatia","Thousand passengers","21,889",""
"2014","Italy","Millions of passenger-kilometres","49,957",""
"2014","Italy","Thousand passengers","864,123",""
"2014","Latvia","Millions of passenger-kilometres","644",""
"2014","Latvia","Thousand passengers","19,190",""
"2014","Lithuania","Millions of passenger-kilometres","270",""
"2014","Lithuania","Thousand passengers","4,126",""
"2014","Luxembourg","Millions of passenger-kilometres","366",""
"2014","Luxembourg","Thousand passengers","21,503",""
"2014","Hungary","Millions of passenger-kilometres","7,710",""
"2014","Hungary","Thousand passengers","146,010",""
"2014","Netherlands","Millions of passenger-kilometres",":","c"
"2014","Netherlands","Thousand passengers",":","c"
"2014","Austria","Millions of passenger-kilometres","11,981",""
"2014","Austria","Thousand passengers","270,913",""
"2014","Poland","Millions of passenger-kilometres","15,885",""
"2014","Poland","Thousand passengers","260,260",""
"2014","Portugal","Millions of passenger-kilometres","3,852",""
"2014","Portugal","Thousand passengers","128,295",""
"2014","Romania","Millions of passenger-kilometres","4,971",""
"2014","Romania","Thousand passengers","64,751",""
"2014","Slovenia","Millions of passenger-kilometres","620",""
"2014","Slovenia","Thousand passengers","14,435",""
"2014","Slovakia","Millions of passenger-kilometres","2,583",""
"2014","Slovakia","Thousand passengers","49,098",""
"2014","Finland","Millions of passenger-kilometres","3,874",""
"2014","Finland","Thousand passengers","68,262",""
"2014","Sweden","Millions of passenger-kilometres","12,121",""
"2014","Sweden","Thousand passengers","207,280",""
"2014","United Kingdom","Millions of passenger-kilometres","64,711",""
"2014","United Kingdom","Thousand passengers","1,679,746",""
"2014","Liechtenstein","Millions of passenger-kilometres","1",""
"2014","Liechtenstein","Thousand passengers","97",""
"2014","Norway","Millions of passenger-kilometres","3,440",""
"2014","Norway","Thousand passengers","70,341",""
"2014","Switzerland","Millions of passenger-kilometres","19,934",""
"2014","Switzerland","Thousand passengers","567,049",""
"2014","Montenegro","Millions of passenger-kilometres","76",""
"2014","Montenegro","Thousand passengers","1,122",""
"2014","North Macedonia","Millions of passenger-kilometres","80",""
"2014","North Macedonia","Thousand passengers","803",""
"2014","Turkey","Millions of passenger-kilometres","4,393",""
"2014","Turkey","Thousand passengers","78,403",""
"2014","Bosnia and Herzegovina","Millions of passenger-kilometres","35",""
"2014","Bosnia and Herzegovina","Thousand passengers","528",""
"2015","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2015","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2015","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2015","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2015","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2015","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2015","Belgium","Millions of passenger-kilometres",":","c"
"2015","Belgium","Thousand passengers",":","c"
"2015","Bulgaria","Millions of passenger-kilometres","1,549",""
"2015","Bulgaria","Thousand passengers","22,518",""
"2015","Czechia","Millions of passenger-kilometres","8,125",""
"2015","Czechia","Thousand passengers","176,146",""
"2015","Denmark","Millions of passenger-kilometres","6,507",""
"2015","Denmark","Thousand passengers","212,253",""
"2015","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","91,050",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,684,908",""
"2015","Estonia","Millions of passenger-kilometres","286",""
"2015","Estonia","Thousand passengers","6,659",""
"2015","Ireland","Millions of passenger-kilometres","1,918",""
"2015","Ireland","Thousand passengers","39,660",""
"2015","Greece","Millions of passenger-kilometres","1,263",""
"2015","Greece","Thousand passengers","16,040",""
"2015","Spain","Millions of passenger-kilometres","26,108",""
"2015","Spain","Thousand passengers","567,854",""
"2015","France","Millions of passenger-kilometres","91,377",""
"2015","France","Thousand passengers","1,204,201",""
"2015","Croatia","Millions of passenger-kilometres","941",""
"2015","Croatia","Thousand passengers","21,649",""
"2015","Italy","Millions of passenger-kilometres","52,207",""
"2015","Italy","Thousand passengers","872,623",""
"2015","Latvia","Millions of passenger-kilometres","590",""
"2015","Latvia","Thousand passengers","17,065",""
"2015","Lithuania","Millions of passenger-kilometres","262",""
"2015","Lithuania","Thousand passengers","3,790",""
"2015","Luxembourg","Millions of passenger-kilometres","418",""
"2015","Luxembourg","Thousand passengers","22,496",""
"2015","Hungary","Millions of passenger-kilometres",":","c"
"2015","Hungary","Thousand passengers",":","c"
"2015","Netherlands","Millions of passenger-kilometres",":","c"
"2015","Netherlands","Thousand passengers",":","c"
"2015","Austria","Millions of passenger-kilometres","12,104",""
"2015","Austria","Thousand passengers","280,060",""
"2015","Poland","Millions of passenger-kilometres","17,240",""
"2015","Poland","Thousand passengers","269,664",""
"2015","Portugal","Millions of passenger-kilometres","3,957",""
"2015","Portugal","Thousand passengers","130,421",""
"2015","Romania","Millions of passenger-kilometres","5,148",""
"2015","Romania","Thousand passengers","66,479",""
"2015","Slovenia","Millions of passenger-kilometres","628",""
"2015","Slovenia","Thousand passengers","14,135",""
"2015","Slovakia","Millions of passenger-kilometres","3,411",""
"2015","Slovakia","Thousand passengers","60,292",""
"2015","Finland","Millions of passenger-kilometres","4,114",""
"2015","Finland","Thousand passengers","75,952",""
"2015","Sweden","Millions of passenger-kilometres","12,741",""
"2015","Sweden","Thousand passengers","214,434",""
"2015","United Kingdom","Millions of passenger-kilometres","66,594",""
"2015","United Kingdom","Thousand passengers","1,741,562",""
"2015","Liechtenstein","Millions of passenger-kilometres","15",""
"2015","Liechtenstein","Thousand passengers","950",""
"2015","Norway","Millions of passenger-kilometres","3,555",""
"2015","Norway","Thousand passengers","73,836",""
"2015","Switzerland","Millions of passenger-kilometres","20,228",""
"2015","Switzerland","Thousand passengers","582,889",""
"2015","Montenegro","Millions of passenger-kilometres","81",""
"2015","Montenegro","Thousand passengers","1,236",""
"2015","North Macedonia","Millions of passenger-kilometres","177",""
"2015","North Macedonia","Thousand passengers","1,022",""
"2015","Turkey","Millions of passenger-kilometres","4,828",""
"2015","Turkey","Thousand passengers","95,318",""
"2015","Bosnia and Herzegovina","Millions of passenger-kilometres","34",""
"2015","Bosnia and Herzegovina","Thousand passengers","512",""
"2016","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2016","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2016","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2016","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2016","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2016","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2016","Belgium","Millions of passenger-kilometres",":","c"
"2016","Belgium","Thousand passengers",":","c"
"2016","Bulgaria","Millions of passenger-kilometres","1,455",""
"2016","Bulgaria","Thousand passengers","21,425",""
"2016","Czechia","Millions of passenger-kilometres","8,738",""
"2016","Czechia","Thousand passengers","178,766",""
"2016","Denmark","Millions of passenger-kilometres","6,332",""
"2016","Denmark","Thousand passengers","211,399",""
"2016","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","95,465",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,813,782",""
"2016","Estonia","Millions of passenger-kilometres","316",""
"2016","Estonia","Thousand passengers","6,926",""
"2016","Ireland","Millions of passenger-kilometres","1,991",""
"2016","Ireland","Thousand passengers","42,820",""
"2016","Greece","Millions of passenger-kilometres","1,192",""
"2016","Greece","Thousand passengers","15,582",""
"2016","Spain","Millions of passenger-kilometres","26,646",""
"2016","Spain","Thousand passengers","575,572",""
"2016","France","Millions of passenger-kilometres","90,612",""
"2016","France","Thousand passengers","1,236,523",""
"2016","Croatia","Millions of passenger-kilometres","827",""
"2016","Croatia","Thousand passengers","20,709",""
"2016","Italy","Millions of passenger-kilometres","52,178",""
"2016","Italy","Thousand passengers","869,199",""
"2016","Latvia","Millions of passenger-kilometres","584",""
"2016","Latvia","Thousand passengers","17,228",""
"2016","Lithuania","Millions of passenger-kilometres","280",""
"2016","Lithuania","Thousand passengers","3,916",""
"2016","Luxembourg","Millions of passenger-kilometres","417",""
"2016","Luxembourg","Thousand passengers","22,459",""
"2016","Hungary","Millions of passenger-kilometres",":","c"
"2016","Hungary","Thousand passengers",":","c"
"2016","Netherlands","Millions of passenger-kilometres",":","c"
"2016","Netherlands","Thousand passengers",":","c"
"2016","Austria","Millions of passenger-kilometres","12,497",""
"2016","Austria","Thousand passengers","286,990",""
"2016","Poland","Millions of passenger-kilometres","19,067",""
"2016","Poland","Thousand passengers","285,094",""
"2016","Portugal","Millions of passenger-kilometres","4,266",""
"2016","Portugal","Thousand passengers","133,472",""
"2016","Romania","Millions of passenger-kilometres","4,988",""
"2016","Romania","Thousand passengers","64,455",""
"2016","Slovenia","Millions of passenger-kilometres","611",""
"2016","Slovenia","Thousand passengers","13,650",""
"2016","Slovakia","Millions of passenger-kilometres","3,484",""
"2016","Slovakia","Thousand passengers","69,150",""
"2016","Finland","Millions of passenger-kilometres","3,868",""
"2016","Finland","Thousand passengers","82,114",""
"2016","Sweden","Millions of passenger-kilometres","12,800",""
"2016","Sweden","Thousand passengers","220,945",""
"2016","United Kingdom","Millions of passenger-kilometres","68,010",""
"2016","United Kingdom","Thousand passengers","1,772,563",""
"2016","Liechtenstein","Millions of passenger-kilometres","16",""
"2016","Liechtenstein","Thousand passengers","936",""
"2016","Norway","Millions of passenger-kilometres","3,695",""
"2016","Norway","Thousand passengers","74,293",""
"2016","Switzerland","Millions of passenger-kilometres","20,657",""
"2016","Switzerland","Thousand passengers","602,659",""
"2016","Montenegro","Millions of passenger-kilometres","84",""
"2016","Montenegro","Thousand passengers","1,285",""
"2016","North Macedonia","Millions of passenger-kilometres","83",""
"2016","North Macedonia","Thousand passengers","663",""
"2016","Turkey","Millions of passenger-kilometres","4,325",""
"2016","Turkey","Thousand passengers","89,038",""
"2016","Bosnia and Herzegovina","Millions of passenger-kilometres","24",""
"2016","Bosnia and Herzegovina","Thousand passengers","418",""
"2017","European Union - 27 countries (from 2020)","Millions of passenger-kilometres",":","c"
"2017","European Union - 27 countries (from 2020)","Thousand passengers",":","c"
"2017","European Union - 28 countries (2013-2020)","Millions of passenger-kilometres",":","c"
"2017","European Union - 28 countries (2013-2020)","Thousand passengers",":","c"
"2017","European Union - 27 countries (2007-2013)","Millions of passenger-kilometres",":","c"
"2017","European Union - 27 countries (2007-2013)","Thousand passengers",":","c"
"2017","Belgium","Millions of passenger-kilometres",":","c"
"2017","Belgium","Thousand passengers",":","c"
