"Cestna vozila konec leta (31.12.) glede na vrsto vozila in statistièno regijo, Slovenija, letno"

"VRSTA VOZILA";"STATISTIÈNA REGIJA";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"....tovornjaki";"Jugovzhodna Slovenija";3907;4285;4588;4589;4598;4659;4664;4698;4749;4985;5225;5525;5992;6347
"....tovornjaki";"Osrednjeslovenska";17330;19152;20798;20857;20705;20729;20741;20444;21005;21219;22162;23619;25113;26359
"....tovornjaki";"Gorenjska";4498;4928;5338;5372;5419;5475;5546;5639;5816;5956;6216;6509;6923;7231
"....tovornjaki";"Primorsko-notranjska";1135;1273;1421;1471;1501;1543;1534;1555;1607;1682;1776;1881;2024;2127
"....tovornjaki";"Goriška";3540;3793;4020;4106;4122;4110;4025;4023;4098;4197;4376;4633;4842;5063
"....tovornjaki";"Obalno-kraška";3556;3956;4246;4269;4371;4343;4035;3981;4066;4187;4381;4621;4899;5088
"....delovna motorna vozila";"Pomurska";285;307;316;326;331;348;359;365;364;382;375;387;395;411
"....delovna motorna vozila";"Podravska";443;465;518;545;584;607;627;638;663;714;754;816;888;951
"....delovna motorna vozila";"Koroška";78;89;99;107;111;120;123;130;137;146;139;149;157;159
"....delovna motorna vozila";"Savinjska";517;584;731;752;788;832;832;831;867;863;905;943;1007;1068
"....delovna motorna vozila";"Zasavska";46;53;58;54;58;64;63;63;61;107;109;121;124;142
"....delovna motorna vozila";"Posavska";128;134;141;139;145;147;149;159;167;189;208;237;243;261
"....delovna motorna vozila";"Jugovzhodna Slovenija";220;239;288;302;333;346;355;368;387;397;418;459;481;490
"....delovna motorna vozila";"Osrednjeslovenska";1060;1260;1433;1572;1647;1644;1698;1800;1880;1950;2061;2168;2330;2470
"....delovna motorna vozila";"Gorenjska";291;339;385;416;458;490;539;562;595;633;673;731;776;831
"....delovna motorna vozila";"Primorsko-notranjska";82;97;108;117;127;129;130;144;155;155;174;181;187;198
"....delovna motorna vozila";"Goriška";192;214;263;292;309;334;324;324;346;364;391;415;428;465
"....delovna motorna vozila";"Obalno-kraška";164;169;188;202;221;244;238;238;254;282;298;315;341;357
"....vlaèilci";"Pomurska";339;375;415;366;371;333;282;276;310;334;366;396;424;431
"....vlaèilci";"Podravska";963;1219;1381;1153;1149;1213;1234;1283;1363;1497;1750;1845;2000;2033
"....vlaèilci";"Koroška";154;220;251;237;240;241;250;276;280;283;303;320;359;366
"....vlaèilci";"Savinjska";946;1206;1391;1313;1362;1438;1464;1571;1700;1976;2361;2656;3016;3268
"....vlaèilci";"Zasavska";75;80;86;77;77;73;80;82;75;126;141;154;170;172
